DOI,Country Code,Institutions
10.1088/1367-2630/14/8/085006,"DE,IT,GB","Univ Roma La Sapienza,Queens Univ Belfast,Univ Ulm,Ist Nazl Ott INO CNR"
10.1364/PRJ.7.0000A7,KR,Seoul Natl Univ
10.1103/PhysRevA.94.052334,"CZ,PL","Palacky Univ,Acad Sci Czech Republic,Adam Mickiewicz Univ"
10.1103/PhysRevLett.114.173601,"DE,US","Tech Univ Darmstadt,Oklahoma State Univ,Max Planck Inst Phys Lichts,Univ Erlangen Nurnberg"
10.1038/s41566-023-01196-y,FR,PSL Univ
10.1103/PhysRevA.83.042320,CZ,"Palacky Univ,Acad Sci Czech Republ"
10.1007/s11082-020-02701-1,CN,Beijing Univ Posts & Telecommun
10.1103/PhysRevA.98.050101,"FR,IT","NEST,Ist NanoSci CNR,Univ Roma Tre,Univ Firenze,INFN Sez Firenze,Sorbonne Univ,Ist Nazl Ottica CNR"
10.1049/ote2.12008,IN,Univ Burdwan
10.1080/01468030.2012.743808,IR,IUST
10.1103/PhysRevX.4.031039,"US,GB","Univ Oxford,Univ Maryland"
10.1002/andp.201800114,CN,Zhengzhou Univ
10.1103/PhysRevB.90.195112,"CN,SG","Natl Univ Singapore,Chinese Acad Sci,Soochow Univ"
10.1002/andp.201900160,CN,"Zhengzhou Univ,Bohai Univ,Henan Univ Engn,Chuangchun Univ"
10.1103/PhysRevA.100.032330,"CN,JP,US","East China Normal Univ,New York Univ Shanghai,Southern Univ Sci & Technol,Univ Arizona,Univ Sci & Technol China,Louisiana State Univ,USTC,NYU Shanghai,Natl Inst Informat & Commun Technol,Indiana Univ Purdue Univ,Natl Inst Informat,NYU"
10.1364/OE.426325,CN,Beijing Univ Posts & Telecommun
10.1103/PhysRevApplied.20.064007,KR,Korea Adv Inst Sci & Technol KAIST
10.1063/5.0103361,"SG,GB","Nanyang Technol Univ,Univ Southampton"
10.1038/s41567-019-0727-x,"AU,AT,CN,DK,GB","Univ Bristol,Tech Univ Denmark,Peking Univ,Beijing Acad Quantum Informat Sci,Austrian Acad Sci,Heriot Watt Univ,Sun Yat sen Univ,Univ Western Australia"
10.1038/srep15384,KR,Pohang Univ Sci & Technol POSTECH
10.1364/OE.18.025786,KR,Pohang Univ Sci & Technol POSTECH
10.1103/PhysRevApplied.19.054029,"DK,US","MIT,Univ Arizona,Tech Univ Denmark,Univ Massachusetts,Brookhaven Natl Lab"
10.1103/PhysRevA.84.022325,"CA,DE","Univ Waterloo,Max Planck Inst Sci Light,Univ Erlangen Nurnberg"
10.1142/S0219749910006435,"AU,JP,US","Keio Univ,Stanford Univ,Res Org Informat & Syst,Univ Melbourne"
10.1103/PhysRevA.96.012324,"CA,GB","Univ Waterloo,Natl Res Council Canada,Univ Ottawa,Univ Toronto"
10.1038/s41566-023-01224-x,"CN,SG,TR,US","Univ Calif Los Angeles,Columbia Univ,Nanjing Univ,Middle East Tech Univ,Inst Microelect,Shanghai Inst Microsyst & Informat Technol,Shanghai Ind Technol Res Inst,Adv Micro Foundry,MIT"
10.1038/srep04543,"IN,ZA","Univ KwaZulu Natal,Inst Math Sci,CSIR"
10.1038/s41598-022-05336-2,RU,SUSU
10.1038/srep12790,CN,"Yanbian Univ,Harbin Inst Technol"
10.1103/PhysRevLett.129.133601,CN,"Natl Univ Def Technol,China Greatwall Technol Grp CO LTD,Natl Innovat Inst Def Technol"
10.1364/OE.27.028143,US,Univ Maryland
10.1103/PhysRevA.85.014301,CN,Nanchang Univ
10.1364/OPTICA.5.001492,CN,"Natl Univ Def Technol,Chinese Acad Sci"
10.1103/PhysRevA.86.062304,GB,Univ Leeds
10.1103/PhysRevA.98.043842,CA,"Univ Calgary,Natl Res Council Canada,Univ Ottawa"
10.1088/1367-2630/aa9b5c,"ZA,GB","Univ Bristol,Univ KwaZulu Natal"
10.1103/PhysRevA.105.062407,"AU,US","Univ New South Wales,Northrop Grumman Corp"
10.1103/PhysRevA.90.042332,AR,CITEDEF
10.1038/s41598-021-89809-w,KR,Chungbuk Natl Univ
10.1038/s41467-024-50667-5,"JP,US","Harvard Univ,Univ Chicago,Univ Tokyo,Argonne Natl Lab"
10.1103/PhysRevA.85.062317,"IT,US","Univ Cent Florida,Univ Camerino,Boston Univ"
10.1103/PhysRevA.88.012327,"CA,CZ","Univ Waterloo,Palacky Univ,Acad Sci Czech Republ,IP AS CR"
10.1038/s41467-022-28767-x,"AU,CN,DK,GB","Peking Univ,Beijing Acad Quantum Informat Sci,Zhejiang Univ,Chinese Acad Sci,Tech Univ Denmark,Univ Bristol,Univ Western Australia,Shanxi Univ"
10.1103/PhysRevA.108.052410,US,Oklahoma State Univ
10.1126/science.aah4758,"IL,US","Technion Israel Inst Technol,Univ Washington"
10.1364/OE.21.017671,CN,Beijing Normal Univ
10.1103/PhysRevA.88.062338,AU,Swinburne Univ Technol
10.1063/5.0193471,"CN,SG","Hangzhou Dianzi Univ,Nanyang Technol Univ"
10.1038/NPHYS1885,"JP,US","Univ Calif Santa Barbara,NEC Corp Ltd"
10.1103/PhysRevLett.116.070501,"CA,ES","Univ Waterloo,Univ Moncton,Univ Seville,Canadian Inst Adv Res"
10.1088/2058-9565/ad0a48,CH,"Swiss Fed Inst Technol,Univ Appl Sci & Arts Northwestern Switzerland"
10.1088/2058-9565/aa629b,"BR,CA,ES,GB","Barcelona Inst Sci & Technol,Univ Bristol,Univ Fed Rio de Janeiro,Univ Calgary,Univ Fed Santa Catarina"
10.1103/PhysRevB.87.035308,US,USN
10.1103/PhysRevLett.117.240501,DK,Univ Copenhagen
10.1088/1367-2630/15/8/083050,CZ,Palacky Univ
10.1103/PhysRevA.96.043808,US,"Raytheon BBN Technol,Harvard Univ"
10.1103/PhysRevA.82.030305,GB,Imperial Coll London
10.1103/PhysRevX.10.021071,"DK,DE,NL,US","Univ Copenhagen,Delft Univ Technol,Harvard Smithsonian Ctr Astrophys,Harvard Univ,Humboldt Univ"
10.1007/s00340-016-6382-3,DE,Tech Univ Darmstadt
10.1364/OE.27.037214,CA,"Univ Waterloo,Canadian Inst Adv Res"
10.1098/rsta.2024.0393,GB,Univ Bristol
10.1016/j.physleta.2013.09.005,"CN,KR","Yanbian Univ,Dalian Univ Technol,Chungbuk Natl Univ"
10.1103/PhysRevA.109.032415,CN,"Univ Sci & Technol China,Shanxi Normal Univ,Tongji Univ"
10.1038/s41598-022-09116-w,MX,"Ctr Invest Cient & Educ Super,Univ Nacl Autonoma Mexico"
10.1021/acsnano.3c11739,"FR,DE,RU,ES","Univ Bordeaux,Inst Opt,CNRS,Mat Phys Ctr CSIC,Donostia Int Phys Ctr DIPC,Ulm Univ,L F Vereshchagin Inst High Pressure Phys,Tours Univ,Basque Fdn Sci,Univ Basque Country UPV EHU"
10.1038/s41467-022-32807-x,"CA,DE,JP,GB","Leibniz Inst Forsch Verbund Berlin eV,NTT Corp,Queens Univ"
10.1103/PhysRevLett.107.190402,FR,"Univ Paris 07,CNRS"
10.1103/PhysRevLett.128.090502,DE,"Leibniz Univ Hannover,MaX Born Inst,Cluster Excellence PhoenixD Photon Opt & Engn Inn"
10.1103/PhysRevA.91.022325,"AT,US","Univ Vienna,Chapman Univ"
10.1038/srep16296,US,Appl Commun Sci
10.1126/sciadv.aaw6664,"HU,SE,CH","Univ Geneva,Stockholm Univ,Hungarian Acad Sci"
10.1103/PhysRevA.87.014301,KR,Pohang Univ Sci & Technol POSTECH
10.1088/1555-6611/abf647,RU,Russian Acad Sci
10.1103/PhysRevLett.127.030402,CN,Univ Sci & Technol China
10.1103/PhysRevA.85.022340,US,"Louisiana State Univ,Stanford Univ"
10.1364/OE.21.017824,KR,Korea Res Inst Stand & Sci
10.1109/JLT.2022.3175128,IL,"Bar Ilan Univ,Tel Aviv Univ"
10.1038/srep25172,US,Stanford Univ
10.1038/s41586-022-04987-5,DE,Max Planck Inst Quantum Opt
10.1103/PhysRevLett.111.150501,"CN,GB","Univ Oxford,Shanghai Jiao Tong Univ"
10.1038/srep45353,JP,"Hokkaido Univ,Osaka Univ,Kyoto Univ,Hiroshima Univ"
10.1038/s41467-017-01304-x,"AT,US","IST Austria,CALTECH"
10.1103/PhysRevA.82.012309,"CA,RU","Univ Calgary,Russian Acad Sci"
10.1038/nature10562,US,Univ Calif Santa Barbara
10.1109/TVLSI.2012.2227518,US,Princeton Univ
10.1142/S0218863522500059,IN,"Birla Inst Technol & Sci Pilani,Univ Sci & Technol"
10.1103/PhysRevA.90.042302,AT,"Univ Vienna,Univ Innsbruck,Austrian Acad Sci"
10.1364/OE.394050,CN,"Sun Yat sen Univ,Peking Univ"
10.1364/JOSAB.28.001959,CN,S China Normal Univ
10.1021/acsphotonics.8b01455,"DE,ES","CSIC,Max Planck Inst Quantum Opt,Univ Politecn Valencia"
10.1103/PhysRevLett.122.090404,"CN,DE","Univ Sci & Technol China,Shanghai Jiao Tong Univ,Wuhan Inst Technol,Capital Normal Univ,Max Planck Inst Math Sci,Southern Univ Sci & Technol"
10.1364/OE.26.021219,JP,Univ Tokyo
10.1364/OE.25.007839,"CZ,ZA,US,GB","Palacky Univ,Univ KwaZulu Natal,Washington Univ"
10.1038/NPHOTON.2010.83,"DE,JP,US","Stanford Univ,Natl Inst Informat,Univ Wurzburg"
10.1103/PhysRevE.108.054116,IN,Indian Inst Sci Educ & Res Kolkata
10.1103/PhysRevA.106.012440,CZ,Palacky Univ Olomouc
10.1103/PhysRevLett.133.030601,"DE,US","Univ Maryland,Tech Univ Munich,Munich Ctr Quantum Sci & Technol MCQST"
10.1103/PhysRevLett.109.160504,"SG,ES","Natl Univ Singapore,ICFO Inst Ciencies Fotoniques,Nanyang Technol Univ"
10.1126/science.ade7651,US,"CALTECH,MIT,AWS Ctr Quantum Comp"
10.1364/OE.18.024423,BR,Univ Fed Minas Gerais
10.1103/PhysRevA.110.032422,CN,Univ Sci & Technol China
10.1103/PhysRevA.105.052416,"IN,US","Univ Arizona,Univ Pittsburgh,Birla Inst Technol & Sci Pilani,Univ Chicago"
10.1088/1367-2630/14/3/033016,"AT,CA","Univ Waterloo,Univ Vienna"
10.1016/j.physa.2017.01.082,CN,"Zhejiang Univ Technol,Zhejiang Univ Sci & Technol"
10.1002/qute.202200125,"CA,GB","Queens Univ,UCL,Vector Inst"
10.1088/1555-6611/aac904,CN,Beijing Univ Posts & Telecommun
10.1080/09500340.2011.604437,US,MITRE Quantum Informat Sci Grp
10.1103/PhysRevA.83.012107,ZA,Univ KwaZulu Natal
10.1038/srep27033,CN,Nanjing Univ
10.1364/OE.22.023360,CN,Shanxi Univ
10.1088/1402-4896/ab6523,"RU,US","ITMO Univ,Corning Res & Dev Corp"
10.1038/ncomms3744,CH,ETH
10.1088/1572-9494/ad696c,CN,"Tianjin Univ Tradit Chinese Med,Tianjin Normal Univ,Univ Sci & Technol Beijing"
10.1088/1361-6455/acf9d2,"FR,GB","Univ Oxford,Univ Paris Saclay,InstaDeep"
10.1038/s41467-024-52086-y,"DK,FR,DE,GB","Univ Copenhagen,Ruhr Univ Bochum,Univ Cambridge,Univ PSL"
10.1103/PhysRevLett.133.033603,"CN,JP,US","Fuzhou Univ,RIKEN Cluster Pioneering Res,RIKEN Ctr Quantum Comp,Univ Michigan"
10.1007/s11128-022-03415-x,BR,"Univ Fed Fluminense,Inst Fed Rio de Janeiro"
10.1016/j.physleta.2020.126933,"BR,ES","Univ Fed Santa Catarina,Univ Fed Goias,Univ Basque Country"
10.1103/PhysRevLett.107.160401,KR,"Pohang Univ Sci & Technol POSTECH,Korea Inst Adv Study"
10.1088/1751-8121/ab3f3c,DE,Albert Ludwigs Univ Freiburg
10.1038/s41534-017-0026-2,"CN,DK","Tech Univ Denmark,Sun Yat sen Univ"
10.22331/q-2020-08-03-303,AU,"Univ Technol Sydney,Univ Queensland"
10.1088/1612-202X/ad6e6c,RU,ITMO Univ
10.1364/OE.25.033514,"CN,DK,DE","Univ Copenhagen,Univ Elect Sci & Technol China,Ruhr Univ Bochum"
10.1016/j.optcom.2012.02.022,CN,Jilin Univ
10.1117/1.AP.4.2.026004,"CA,CN,US","Hong Kong Univ Sci & Technol,Univ Guelph,Univ Waterloo,Univ Texas Dallas"
10.1080/09500340.2016.1182222,"CA,RU","Univ Calgary,Kazan Natl Res Tech Univ,Kazan Fed Univ"
10.1038/s41467-023-37842-w,"AT,CN,ES,SE,CH","Univ Sci & Technol China,Inst Math Sci ICMAT CSIC UAM UC3M UCM,Univ Geneva,Constructor Univ,Lund Univ,Austrian Acad Sci"
10.1038/s41534-022-00604-5,"DK,US","MIT,US Army,Univ Massachusetts,MITRE Corp,Tech Univ Denmark"
10.1038/s41467-020-17053-3,US,"Yale Univ,Argonne Natl Lab,Univ Chicago"
10.1088/0953-4075/46/23/235501,DE,Tech Univ Darmstadt
10.1038/s41467-024-54541-2,US,"Harvard Univ,AWS Ctr Quantum Networking,DRS Daylight Solut"
10.1038/s41534-023-00708-6,US,"MITRE Corp,MIT,Sandia Natl Labs,Univ Arizona,Brookhaven Natl Lab"
10.1103/PhysRevLett.114.090402,"AU,CA","Univ Queensland,Univ Waterloo,Monash Univ,Macquarie Univ"
10.1142/S0217732320500467,"IT,SA","Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1038/s41567-018-0241-6,IL,"Weizmann Inst Sci,Soreq NRC"
10.1002/qute.202200049,"FR,DE,IL","Tech Univ Munich,Technion Israel Inst Technol,Univ Grenoble Alpes,Ruhr Univ Bochum,Tech Univ Berlin,Univ Paderborn"
10.1364/OPTICA.4.000008,US,Oak Ridge Natl Lab
10.1103/PhysRevA.81.052106,CA,"Univ Calgary,Ecole Polytech Montreal"
10.1103/PhysRevLett.123.030501,ES,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1140/epjd/s10053-022-00419-1,"AT,IT,JP,GB","Tokyo Inst Technol,Loughborough Univ,Univ Vienna,Sapienza Univ Roma,NTT Corp,Natl Inst Informat,Univ Roma Tre"
10.1088/1674-1056/23/11/110304,CN,"Qufu Normal Univ,Chinese Acad Sci"
10.1103/PhysRevLett.105.030407,"AT,CA,US","Univ Illinois,Univ Innsbruck,Univ British Columbia"
10.1016/j.optcom.2011.07.053,CN,Jilin Univ
10.1002/andp.202200507,CN,North Univ China
10.1117/1.AP.3.5.055002,CN,"Nanjing Univ,Sun Yat sen Univ"
10.1088/1367-2630/13/11/115009,GB,"Nokia Res Ctr,Univ Bristol"
10.1021/acs.jpcb.1c00887,"CN,DE,SG","Inner Mongolia Univ Sci & Technol,Max Planck Inst Phys Komplexer Syst,Nanyang Technol Univ,Tech Univ Dresden"
10.1016/j.optcom.2015.12.065,"CN,IE","Chongqing Univ Posts & Telecommun,Dublin City Univ,North China Univ Water Resources & Elect Power,Sichuan Univ Sci & Engn,Southwest Jiaotong Univ"
10.1103/PhysRevA.104.013703,US,Univ Maryland
10.1007/s11128-018-1979-6,SA,King Khalid Univ
10.1088/2040-8986/aad793,"IR,IT","IASBS,Univ Padua"
10.1364/OME.9.002318,"CN,IT","Peking Univ,Collaborat Innovat Ctr Quantum Matter,Univ Sci & Technol China,CNR,Politecn Milan,Shanxi Univ"
10.1103/PhysRevLett.105.060502,"DE,US","Harvard Univ,Tech Univ Kaiserslautern"
10.1103/PhysRevA.98.013801,US,"US Army,Univ Chicago,Univ Massachusetts,Louisiana State Univ"
10.1103/PhysRevA.98.052304,AM,Armenian Natl Acad Sci
10.1103/PhysRevApplied.11.024071,JP,Univ Tokyo
10.1364/OE.20.016145,AT,"Univ Vienna,Inst Quantum Opt & Quantum Informat"
10.1016/j.ijleo.2019.02.009,IR,Iran Univ Sci & Technol
10.1088/1402-4896/ac4b33,KR,Chungbuk Natl Univ
10.1038/ncomms11183,GB,Univ Sheffield
10.1038/s41467-022-35773-6,"CA,FR,IT,CH","Univ Pavia,Univ Grenoble Alpes,Univ Toronto,Ecole Polytech Fed Lausanne,Adv Fiber Resources Milan Srl,LIGENTEC SA,Univ Limoges,SOITEC SA"
10.1103/PhysRevA.108.023702,US,Univ Oklahoma
10.1103/PhysRevLett.105.250403,"DE,HU,ES","Univ Basque Country,Basque Fdn Sci,Hungarian Acad Sci,Max Planck Inst Quantum Opt,Univ Munich,Leibniz Univ Hannover"
10.1103/PhysRevA.86.042334,"SG,KR","Pohang Univ Sci & Technol POSTECH,Natl Univ Singapore"
10.1038/s41467-024-45299-8,CN,Nanjing Univ
10.1007/s10946-020-09883-9,"EG,SA","King Abdulaziz Univ,Taif Univ,Sohag Univ,Damanhour Univ,Univ Jordan"
10.1103/PRXQuantum.3.020363,"DK,DE,US","Univ Copenhagen,Ruhr Univ Bochum,Univ Iowa"
10.1038/s41534-022-00541-3,"FR,CH","Univ Geneva,Univ Cote Azur"
10.1103/PhysRevA.110.052605,CA,"Univ Toronto,Quantum Bridge Technol Inc,Univ Waterloo,Inst Quantum Comp,Ki3 Photon Technol"
10.1007/s11128-021-03279-7,KR,Chungbuk Natl Univ
10.1103/PhysRevA.82.010301,JP,"Tokyo Med & Dent Univ,Japan Sci & Technol Agcy,Hiroshima Univ,NEC Corp Ltd,RIKEN,Univ Tokyo"
10.1103/PhysRevA.110.032402,GB,ORCA Comp
10.1103/PhysRevLett.119.180510,"AT,CN,IR","Univ Vienna,Austrian Acad Sci,IASBS,Xi An Jiao Tong Univ"
10.1038/s41534-020-00316-8,DE,Max Planck Inst Quantum Opt
10.1038/s41467-022-34372-9,"DE,ES","Univ Valencia,Westfalische Wilhelms Univ Munster,Univ Augsburg,Leibniz Inst Forsch Verbund Berlin eV,Tech Univ Munchen Munchen,Munich Ctr Quantum Sci & Technol MCQST,Tech Univ Munich"
10.1103/PhysRevLett.128.180501,CN,"Univ Sci & Technol China,Hefei Natl Lab"
10.1038/s41467-020-18269-z,"AT,CA","IST Austria,Univ Calgary"
10.1103/PhysRevLett.131.120603,"DK,US","Univ Copenhagen,TJ Watson Res Ctr,IBM Denmark"
10.1088/1367-2630/ab98d4,"DK,NL,US","Univ Chicago,Univ Copenhagen,Delft Univ Technol"
10.1088/1612-2011/13/12/125204,"CN,PK","Huazhong Univ Sci & Technol,Natl Inst Lasers & Optron"
10.1103/PhysRevA.93.062329,CN,Univ Sci & Technol China
10.1103/PhysRevA.97.012321,DE,"Fraunhofer Inst Appl Opt & Precis Engn,Albert Ludwigs Univ Freiburg"
10.1088/1367-2630/18/1/013020,"AT,JP,GB","Univ Vienna,Univ Oxford,Gunma Univ"
10.2478/s11772-010-0050-7,"FR,IT,NL,CH","CNR,Eindhoven Univ Technol,Ecole Polytech Fed Lausanne,Univ Lyon"
10.1103/PhysRevA.93.012323,EE,Univ Tartu
10.1364/OE.18.020475,"IT,US","Boston Univ,Univ Cent Florida,Univ Camerino,Columbia Univ"
10.1103/PhysRevApplied.5.024014,US,HRL Labs LLC
10.1038/s41566-021-00873-0,GB,Toshiba Europe Ltd
10.1038/s41467-020-16996-x,"AU,US","CALTECH,Univ Sydney,Univ Colorado,NIST"
10.1038/ncomms1392,"AU,AT,US,GB","Univ Bristol,Univ Queensland,Cornell Univ,Univ Innsbruck"
10.1364/OL.40.002221,CN,"Hangzhou Normal Univ,E China Normal Univ"
10.1126/science.abi9917,US,"Harvard Univ,Univ Chicago,MIT"
10.1080/15421406.2010.485118,IT,"Univ Naples Federico 2,Univ Roma La Sapienza"
10.1103/PhysRevA.89.022317,"CA,CN,US","Univ Maryland,Natl Inst Stand & Technol,Univ British Columbia,Georgia Inst Technol,Duke Univ,Univ Michigan,Tsinghua Univ"
10.1103/PhysRevA.99.032108,"CL,ES","Univ Concepcion,Barcelona Inst Sci & Technol,ICREA"
10.1126/sciadv.1501531,"AU,FR","Griffith Univ,CNRS,Univ Bordeaux,Univ Queensland"
10.1088/1367-2630/13/1/013017,US,CALTECH
10.1364/OE.481974,SE,Linkopings Univ
10.1103/PhysRevA.101.010302,"CA,CN","Beijing Computat Sci Res Ctr,Nanjing Univ Sci & Technol,Southeast Univ,Jiangnan Univ,Univ Sci & Technol China CAS,Univ Sci & Technol China,Univ Calgary,Soochow Univ"
10.1080/01468030.2019.1580802,IR,Iran Univ Sci & Technol
10.1038/NPHOTON.2015.42,"JP,GB","Univ Tokyo,Tamagawa Univ,Univ Southampton,NTT Device Technol Labs,Univ Bristol"
10.1103/PhysRevLett.133.200201,"BE,CN,IN,ES","Henan Key Lab Quantum Informat & Cryptog,Univ libre Bruxelles ULB,S N Bose Natl Ctr Basic Sci,Barcelona Inst Sci & Technol"
10.1364/PRJ.481475,"DE,IT,CH","Univ Geneva,ID Quant SA,CNR IFN,Politecn Milan,Sicoya GmbH"
10.1080/09500340.2013.877610,CN,Fuzhou Univ
10.1126/sciadv.add2811,NL,"Kavli Inst Nanosci,AMOLF,Eindhoven Univ Technol,QphoX BV"
10.1103/PhysRevA.104.L020201,CN,"Nanjing Univ Sci & Technol,Beijing Computat Sci Res Ctr,Southeast Univ"
10.1038/s41534-023-00748-y,US,Univ Chicago
10.22331/q-2021-02-04-392,"AU,CA,JP,US","Xanadu,Univ Toronto,Univ New Mexico,RMIT Univ,Perimeter Inst Theoret Phys,Univ Waterloo,Univ Arizona,Univ Tokyo"
10.1364/OE.23.031550,CN,Beijing Univ Posts & Telecommun
10.1364/OE.519638,KR,Seoul Natl Univ
10.1103/PhysRevX.14.031055,"CN,US","CALTECH,Univ Chicago,AWS Ctr Quantum Comp,Xi An Jiao Tong Univ,Rice Univ"
10.1088/1367-2630/ab1144,DE,"Humboldt Univ,Leibniz Inst Hochstfrequenztech"
10.1103/PhysRevA.110.052436,DE,Univ Konstanz
10.1038/s41565-023-01368-5,"FR,DE,JP,KR,GB","Univ Grenoble Alpes,Tokyo Inst Technol,Natl Inst Adv Ind Sci & Technol,Korea Adv Inst Sci & Technol,Ruhr Univ Bochum,Ludwig Maximilians Univ Munchen"
10.1088/1674-1056/ac43b0,CN,Chengdu Univ Technol
10.1103/PhysRevApplied.16.024052,CN,"Univ Sci & Technol China,Fudan Univ"
10.1038/s41598-022-26450-1,CZ,Palacky Univ
10.1038/s41598-024-65899-0,IR,Univ Tehran
10.1364/OE.445444,CN,Southwest Jiaotong Univ
10.1088/1402-4896/ad0d8d,IR,"Yazd Univ,Persian Gulf Univ"
10.1103/PhysRevLett.113.263604,ES,"Univ Zaragoza,Fdn ARAID,CSIC"
10.1007/s11128-015-1017-x,CN,"Hunan Univ Sci & Technol,Hunan Normal Univ,Beijing Inst Technol"
10.1103/PhysRevA.95.063807,"FR,US","Univ Wisconsin,Univ Montpellier,Inst Univ France"
10.1021/acsphotonics.4c00340,"DE,US","Forschungszentrum Julich,Julich Aachen Res Alliance,MIT,Rhein Westfal TH Aachen"
10.1103/PhysRevB.86.024503,ES,"Univ Zaragoza,Fdn ARAID,Univ Pais Vasco UPV EHU,Basque Fdn Sci,CSIC"
10.1103/PhysRevA.85.022318,DE,Max Planck Inst Quantum Opt
10.1103/PhysRevA.96.062317,"FR,DE,IT,GB","Univ Oxford,Univ Pavia,Univ Edinburgh,UCL,Univ Paris 06,Univ Stuttgart"
10.1088/1367-2630/14/9/093004,US,"Columbia Univ,Brookhaven Natl Lab,SUNY Albany"
10.1021/acs.nanolett.4c01272,DK,Tech Univ Denmark
10.1126/sciadv.abe8905,AT,"Johannes Kepler Univ Linz,Univ Vienna"
10.1126/sciadv.aau6668,"AU,GB","Griffith Univ,Imperial Coll London"
10.1103/PhysRevA.95.012302,RU,"Moscow MV Lomonosov State Univ,RAS"
10.1103/PhysRevX.7.041023,US,"Virginia Tech,Univ Maryland"
10.1038/ncomms15579,"DE,GB","Univ Cambridge,Univ Saarland,Element Six Ltd"
10.1103/PhysRevA.88.062321,"IT,ES","ICFO Inst Ciencies Foton,Univ Roma La Sapienza,Ist Italiano Tecnol,Univ Naples Federico II,Complesso Univ Monte S Angelo"
10.1103/PhysRevApplied.18.044027,"SG,US","Oak Ridge Natl Lab,Univ Illinois,Natl Univ Singapore"
10.1103/PhysRevA.90.042301,CN,"Univ Sci & Technol China,Fuzhou Univ"
10.1364/OE.376914,"AT,FR,IL","Weizmann Inst Sci,Univ Paris Diderot,Univ Innsbruck,Austrian Acad Sci"
10.1103/RevModPhys.89.021001,"CA,DE,IN,IL","Max Planck Inst Phys Komplexer Syst,Raman Res Inst,Univ Waterloo,Weizmann Inst Sci"
10.1103/PhysRevA.105.032607,US,Univ Chicago
10.1364/PRJ.462212,CN,"Beijing Computat Sci Res Ctr,Ningbo Univ,East China Normal Univ"
10.1007/s12043-020-01989-8,IN,"Triveni Devi Bhalotia Coll,Asansol Girls Coll"
10.1038/s41598-019-53803-0,ES,Univ Vigo
10.1088/1751-8121/ac0546,"IN,PL,TW","Indian Inst Technol Jodhpur,Natl Inst Technol Patna,Univ Warsaw,Natl Cheng Kung Univ"
10.1103/PhysRevLett.117.140505,"KR,US","Harvard Univ,Pohang Univ Sci & Technol POSTECH"
10.1103/PhysRevA.105.062209,AU,Swinburne Univ Technol
10.1063/1.4983822,GB,"Imperial Coll London,Goldsmiths Univ London"
10.1038/s41567-022-01845-z,"AT,CL,ES","Univ Concepcion,Univ Catolica Santisima Concepcion,Inst Fis Fundamental IFF,Austrian Acad Sci,Tech Univ Wien"
10.1088/1612-202X/abbf46,RU,Russian Acad Sci
10.1088/1612-202X/aabf1a,CN,"Xidian Univ,Xian Univ"
10.1103/PhysRevLett.116.090401,"CA,CN","Southeast Univ,Univ Sci & Technol China,Univ Calgary,Canadian Inst Adv Res"
10.1007/s00340-017-6871-z,AR,"CITEDEF CONICET,UBA,Consejo Nacl Invest Cient & Tecn"
10.1038/s41565-018-0091-5,"DK,CH","Univ Copenhagen,Univ Basel,Ruhr Univ Bochum"
10.1103/PhysRevA.105.032434,KR,Seoul Natl Univ
10.1103/PhysRevA.104.063701,"MX,ES","Benemerita Univ Autonoma Puebla,Univ Zaragoza"
10.1103/PhysRevLett.116.070502,CN,Univ Sci & Technol China
10.1103/PhysRevLett.111.240503,CN,Shanxi Univ
10.1103/PhysRevLett.133.050604,GB,ORCA Comp
10.1364/JOSAB.31.001719,MX,Inst Nacl Astrofis Opt & Electr
10.1126/sciadv.aat1451,DE,Univ Paderborn
10.1063/1.5139256,"AU,RU","Univ Technol Sydney,Moscow Inst Phys & Technol"
10.1103/PhysRevB.81.085325,BR,Univ Fed Rio de Janeiro
10.1103/PhysRevApplied.17.064034,CN,"Univ Sci & Technol China,PLA Rocket Force Univ Engn"
10.1088/0953-4075/46/5/055502,"CA,CN","Huaqiao Univ Xiamen,Univ Calgary"
10.1103/PhysRevA.84.042341,"AT,DK,US","Austrian Acad Sci,Univ Innsbruck,Univ Copenhagen,Harvard Univ"
10.1007/s11082-021-03249-4,IN,MNIT Jaipur
10.1007/s11128-019-2312-8,CN,"Shanxi Normal Univ,Shanxi Univ,Yanbian Univ"
10.1126/science.1214707,"AT,CA,IE,SG,GB","Univ Vienna,Austrian Acad Sci,Univ Edinburgh,Univ Waterloo,Natl Univ Singapore,Univ Coll Dublin"
10.1038/srep25977,"CN,IE","Southwest Jiaotong Univ,Southwest Univ,Dublin City Univ"
10.1038/s41467-024-46830-7,"CN,US","Peking Univ,Shanxi Univ,Hefei Natl Lab,Harvard Univ"
10.1038/s41467-023-38761-6,"AT,IL,RU","IST Austria,Ioffe Inst,Weizmann Inst Sci"
10.1007/s00340-022-07910-y,CN,Shanxi Univ
10.1038/s41567-018-0071-6,US,"Univ Chicago,Univ Washington,Lehigh Univ"
10.1038/s41566-024-01526-8,"BR,FR,IT,PT","Sapienza Univ Roma,Consiglio Nazl Ric IFN CNR,Politecn Milan,Int Iberian Nanotechnol Lab INL,Univ Fed Fluminense"
10.1002/qute.202400418,IT,Univ Trento
10.1103/PhysRevA.85.015806,US,Stanford Univ
