DOI,institution
10.1002/andp.202100609,Yanbian Univ
10.1038/s41586-018-0200-5,"Delft Univ Technol,Element Six Innovat"
10.1103/PhysRevA.83.022302,"Chinese Acad Sci,Wuhan Natl Lab Optoelect,Huazhong Univ Sci & Technol,Univ Sci & Technol China,Natl Univ Def Technol"
10.1103/PhysRevA.95.042345,"Zhejiang Univ,Collaborat Innovat Ctr Adv Microstruct"
10.1103/PhysRevA.94.033807,"Technion,Univ Waterloo"
10.1103/PhysRevX.9.021028,"Univ New South Wales,Keio Univ,ARC Ctr Excellence Future Low Energy Elect Techno,UCL"
10.1364/OE.25.007839,"Palacky Univ,Univ KwaZulu Natal,Washington Univ"
10.1103/PhysRevX.3.021008,"Univ Paris 07,INRIA Paris Rocquencourt,Yale Univ"
10.1103/PhysRevLett.124.180502,"Univ Claude Bernard Lyon 1,Univ Paris Saclay"
10.1038/s41534-019-0189-0,"Delft Univ Technol,Forschungszentrum Julich"
10.1021/acs.nanolett.0c04771,"Univ New South Wales,Purdue Univ,Keio Univ"
10.35848/1882-0786/ac211d,"Japan Atom Energy Agcy,RIKEN,Univ Chinese Acad Sci"
10.1103/PhysRevB.100.081412,"Univ Konstanz,Princeton Univ"
10.1103/PhysRevX.14.021019,"Alice & Bob,Ecole Normale Super Lyon"
10.1038/s41467-017-01993-4,"Univ Chicago,Tohoku Univ,Argonne Natl Lab"
10.1103/PhysRevApplied.9.044036,"NASA,Stinger Ghaffarian Technol Inc,Univ Michigan,USRA,Google"
10.1209/0295-5075/108/36004,Natl Inst Mat Phys
10.1103/PhysRevA.96.022104,"Washington Univ,Aarhus Univ,Inst Mat Sci & Engn"
10.1103/PhysRevX.12.031004,"Swiss Fed Inst Technol,Ecole Polytech Fed Lausanne,Univ Basel,RIKEN,Univ Tokyo,Slovak Acad Sci,IBM Res Zurich,Microsoft Quantum Lab Delft"
10.1038/NPHOTON.2010.83,"Stanford Univ,Natl Inst Informat,Univ Wurzburg"
10.1103/PhysRevE.108.054116,Indian Inst Sci Educ & Res Kolkata
10.1088/1612-202X/aae787,"Shanghai Normal Univ,Singapore Univ Technol & Design,Shandong Polytech Coll,Natl Univ Singapore"
10.1103/PhysRevA.106.012440,Palacky Univ Olomouc
10.1103/PhysRevLett.133.030601,"Univ Maryland,Tech Univ Munich,Munich Ctr Quantum Sci & Technol MCQST"
10.1103/PhysRevLett.109.160504,"Natl Univ Singapore,ICFO Inst Ciencies Fotoniques,Nanyang Technol Univ"
10.1103/PhysRevA.100.032323,"Max Planck Inst Sci Light,Univ Chicago"
10.1088/1674-1056/ac40f8,"Chinese Acad Sci,Univ Chinese Acad Sci,Beijing Acad Quantum Informat Sci,RIKEN,Songshan Lake Mat Lab"
10.1063/1.4990033,IBM TJ Watson Res Ctr
10.1103/PhysRevX.4.021049,"CEA Saclay,Aarhus Univ,Univ Tsukuba,Sumitomo Elect Ind Ltd,Japan Atom Energy Agcy,ENS Cachan,CNRS,Univ Paris 11,Univ Paris 06"
10.1103/PhysRevB.91.195439,Univ Calif Merced
10.1063/5.0170055,MIT
10.1088/2040-8986/abb9c3,Birla Inst Technol & Sci
10.1103/PhysRevLett.127.010503,Tsinghua Univ
10.1103/PhysRevB.108.235312,"Univ Sci & Technol China,Sichuan Univ,ZJU Hangzhou Global Sci & Technol Innovat Ctr,Chinese Acad Sci"
10.1103/PRXQuantum.3.040333,"Fermilab Natl Accelerator Lab,Univ Waterloo"
10.1109/TASC.2017.2672719,Sandia Natl Labs
10.3390/e24070952,State Key Lab Math Engn & Adv Comp
10.1103/PhysRevA.108.053702,Zhejiang Univ
10.1126/science.ade7651,"CALTECH,MIT,AWS Ctr Quantum Comp"
10.1007/s11128-013-0624-7,"Pakistan Inst Engn & Appl Sci,Natl Inst Lasers & Optron"
10.1063/5.0230359,"Delft Univ Technol,Univ Copenhagen,Univ Strasbourg,Karlsruhe Inst Technol"
10.1103/PhysRevA.96.053832,"Southwest Jiaotong Univ,Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol"
10.1016/j.physb.2024.415988,"Univ Zagreb,Chalmers Univ Technol,Natl Acad Sci Ukraine,Univ Gothenburg"
10.1103/PhysRevB.110.045404,"Leiden Univ,Yale Univ,Delft Univ Technol,Cornell Univ,Sapienza Univ Roma"
10.1038/s41534-024-00866-1,"Friedrich Alexander Univ Erlangen Nurnberg,Max Planck Inst Sci Light,Los Alamos Natl Lab,Jagiellonian Univ,Ecole Polytech Fed Lausanne"
10.3390/universe8120657,"Univ Tours,SUNY Stony Brook,Brookhaven Natl Lab,Loire Valley Inst Adv Studies"
10.1103/PhysRevX.14.041056,Weizmann Inst Sci
10.1038/s41534-023-00731-7,"Karlsruhe Inst Technol,Univ Glasgow"
10.1103/PhysRevA.82.024301,"Zhejiang Univ Sci & Technol,Hangzhou Normal Univ,Zhejiang Normal Univ,Univ Kansas"
10.1103/PhysRevX.5.021023,"Univ Illinois,Johns Hopkins Univ,Amer Phys Soc,Purdue Univ"
10.1088/0031-8949/2013/T153/014043,"CSFNSM,Univ Palermo,Catania Univ"
10.1364/OE.18.024423,Univ Fed Minas Gerais
10.1103/PhysRevA.110.032422,Univ Sci & Technol China
10.1103/PhysRevA.94.053858,"Xi An Jiao Tong Univ,RIKEN,Adam Mickiewicz Univ,Univ Michigan"
10.1088/1361-6668/acb10e,"NAS Ukraine,Univ NAS,MES Ukraine,Univ Savoie Mont Blanc"
10.1103/PhysRevX.14.041030,"Univ Chicago,Argonne Natl Lab,AWS Ctr Quantum Comp,Ecole Normale Super Lyon"
10.1063/5.0166535,"Univ Sci & Technol China,QuantumCTek Co Ltd"
10.1364/OL.43.003136,"Univ Sci & Technol China,Univ Fed Fluminense"
10.1103/PhysRevA.88.062334,Toshiba Co Ltd
10.1080/00268976.2023.2282736,"MIT,IBM Quantum"
10.1088/2058-9565/ac0543,"Georgia Tech Res Inst,Oak Ridge Natl Lab"
10.1088/1367-2630/14/1/013051,"Rhein Westfal TH Aachen,Forschungszentrum Julich,IBM TJ Watson Res Ctr"
10.1103/PhysRevA.105.052416,"Univ Arizona,Univ Pittsburgh,Birla Inst Technol & Sci Pilani,Univ Chicago"
10.1063/1.4981390,"NIST,Univ Colorado,HRL Labs LLC"
10.1088/1367-2630/14/3/033016,"Univ Waterloo,Univ Vienna"
10.1126/science.adg8715,"Univ Chicago,Argonne Natl Lab,Univ Grenoble Alpes"
10.1140/epjd/e2010-00175-7,Chinese Acad Sci
10.1109/TASC.2010.2091485,"Raytheon BBN Technol,ST Ericsson AB"
10.1103/PRXQuantum.4.030336,Weizmann Inst Sci
10.1016/j.physa.2017.01.082,"Zhejiang Univ Technol,Zhejiang Univ Sci & Technol"
10.1103/PhysRevB.100.144514,Forschungszentrum Julich
10.1007/s00340-012-4882-3,Johannes Gutenberg Univ Mainz
10.1103/PhysRevA.101.052333,"Beijing Acad Quantum Informat Sci,Tsinghua Univ,Univ Basque Country,Basque Fdn Sci,Univ Seville,Shanghai Univ,IQM"
10.1364/OL.37.001008,"Univ Sci & Technol China,Anhui Asky Quantum Technol Co Ltd"
10.1103/PhysRevLett.127.060505,Tsinghua Univ
10.1103/PhysRevLett.115.200501,Hebrew Univ Jerusalem
10.1007/s11128-023-04200-0,Zhoukou Normal Univ
10.1103/PhysRevLett.120.063603,"Natl Tsing Hua Univ,RIKEN,Univ Macau,UMacau Zhuhai Res Inst,Univ Michigan"
10.1103/PhysRevA.90.040502,"Univ Paris 06,Univ Grenoble Alpes"
10.1109/TASC.2012.2193616,Sharif Univ Technol
10.1038/s41534-020-00352-4,"Univ Sherbrooke,Canadian Inst Adv Res"
10.1142/S021797921650123X,"Univ Illes Balears,Amer Univ Middle East,Russian Acad Sci,Al Zahra Coll Women,King Abdulaziz Univ"
10.1063/10.0030412,"Ankara Univ,Azerbaijan Natl Acad Sci,Khazar Univ"
10.1103/PhysRevA.105.062436,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1088/2058-9565/ace8b6,Inst Quantum Comp
10.1088/1367-2630/17/6/063035,"NTT Corp,Tokyo Univ Sci,Natl Inst Informat & Commun Technol"
10.1103/PhysRevApplied.22.024057,"Toshiba Co Ltd,RIKEN"
10.1103/PhysRevLett.127.140504,"Washington Univ,Indiana Univ Purdue Univ"
10.7566/JPSJ.85.104801,"NTT Corp,Tokyo Univ Sci,Natl Inst Informat & Commun Technol"
10.1364/JOSAB.507012,Indian Inst Technol Guwahati
10.1364/OL.39.005078,NTT Corp
10.1038/nature10225,Univ Paris 06
10.1103/PRXQuantum.5.030337,"IBM Res Europe Zurich,Swiss Fed Inst Technol,Czech Acad Sci"
10.1103/PhysRevApplied.9.034011,ETH
10.1038/ncomms4524,"NTT Corp,TU Wien,Osaka Univ,Natl Inst Informat"
10.1002/qute.202200125,"Queens Univ,UCL,Vector Inst"
10.1103/PhysRevA.91.063814,"NL Dukhov All Russia Res Inst Automat,Russian Acad Sci,Moscow Inst Phys & Technol,Natl Res Nucl Univ MEPhI,HSE"
10.1103/PhysRevB.84.214304,"Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol,Natl Cheng Kung Univ,Univ Basque Country,Basque Fdn Sci,Washington Univ"
10.1088/1555-6611/aac904,Beijing Univ Posts & Telecommun
10.1103/PhysRevApplied.14.054023,"Aalto Univ,Univ Nacl Colombia"
10.1088/1674-1056/20/3/034203,"Hunan Normal Univ,Hunan Inst Sci & Technol"
10.1109/MMM.2020.2993476,NIST
10.1103/PhysRevA.94.042320,Seoul Natl Univ
10.1088/0256-307X/29/1/014208,"Zhejiang Normal Univ,Zhejiang Univ,SW Univ Sci & Technol,Univ Sci & Technol China"
10.1103/PhysRevLett.112.240504,"Univ Calif Santa Barbara,Univ Melbourne"
10.1007/s11128-020-02814-2,"Beijing Univ Technol,Univ Macau,Zhuhai UM Sci & Technol Res Inst"
10.1039/d0cc04841k,Univ Stuttgart
10.1103/PhysRevApplied.18.034042,"Univ Copenhagen,Microsoft Quantum Lab Copenhagen,Purdue Univ,Microsoft Quantum Lab West Lafayette,Forschungszentrum Julich,ForschungszentrumJulich,Rhein Westfal TH Aachen,Univ Colorado Boulder"
10.1088/1361-6668/ad10b6,"Brookhaven Natl Lab,SUNY Stony Brook"
10.1080/09500340.2011.604437,MITRE Quantum Informat Sci Grp
10.1038/s41534-021-00480-5,"Chalmers Univ Technol,Natl Phys Lab,Indian Inst Sci"
10.1103/PhysRevA.104.012405,"Barcelona Supercomp Ctr,Univ Barcelona,Barcelona Inst Sci & Technol,Qilimanjaro Quantum Tech,Ctr Quantum Technol,Quantum Res Ctr"
10.1103/PhysRevA.83.012107,Univ KwaZulu Natal
10.1103/PRXQuantum.5.030341,"MIT,Atlantic Quantum,Google Quantum AI"
10.1103/PhysRevA.91.043801,"Beijing Computat Sci Res Ctr,Univ Sci & Technol China"
10.1038/srep27033,Nanjing Univ
10.1364/OE.22.023360,Shanxi Univ
10.1016/j.physb.2023.415049,"Univ Zagreb,Chalmers Univ Technol,Engn Natl Acad Sci Ukraine,Univ Gothenburg"
10.1016/j.physc.2015.11.004,"Jiangxi Normal Univ,Wuhan Univ,Univ Macau"
10.1088/2058-9565/ab043e,"Univ Calif Santa Barbara,Stanford Univ"
10.1103/PhysRevA.82.052322,"Univ Maryland,Clemson Univ"
10.1103/PhysRevA.95.042330,"Heriot Watt Univ,Swiss Fed Inst Technol,UCL"
10.1103/PRXQuantum.4.010310,"Microsoft Quantum,Microsoft Stn Q"
10.1103/PhysRevB.83.214518,"Karlsruher Inst Technol,Aalto Univ,DFG CFN"
10.1103/PhysRevA.109.052218,"Karlsruhe Inst Technol,Stuttgart Univ"
10.1103/PhysRevA.105.063717,Tsinghua Univ
10.1088/1367-2630/abbca4,"Beijing Univ Technol,Univ Macau,Zhuhai UM Sci & Technol Res Inst"
10.1088/1402-4896/ab6523,"ITMO Univ,Corning Res & Dev Corp"
10.1103/PhysRevLett.110.243604,Yale Univ
10.1007/s11128-011-0342-y,"Xuchang Univ,Zhejiang Ocean Univ"
10.1038/ncomms3744,ETH
10.1088/1572-9494/ad696c,"Tianjin Univ Tradit Chinese Med,Tianjin Normal Univ,Univ Sci & Technol Beijing"
10.1364/OE.23.001615,"Hunan Normal Univ,Chinese Acad Sci,Univ Chinese Acad Sci,Univ Sci & Technol China"
10.1088/1361-6455/acf9d2,"Univ Oxford,Univ Paris Saclay,InstaDeep"
10.1007/s11128-019-2331-5,"Natl Inst Technol,Indian Inst Sci Educ & Res Kolkata"
10.1103/PhysRevB.85.140506,"Ecole Polytech,Yale Univ"
10.1038/s41467-024-52086-y,"Univ Copenhagen,Ruhr Univ Bochum,Univ Cambridge,Univ PSL"
10.1103/PhysRevApplied.18.034072,"East China Normal Univ,Zhengzhou Univ,Shanghai Jiao Tong Univ,Shanghai Res Ctr Quantum Sci,Hefei Natl Lab,Shanxi Univ"
10.1038/ncomms12303,"RIKEN,Tokyo Med & Dent Univ,MIT,Tokyo Univ Sci,NEC IoT Device Res Labs,Univ Tokyo"
10.1103/PhysRevLett.132.017003,"Univ Roma La Sapienza,Ctr Ric Enrico Fermi,Max Planck Inst Chem Phys Solids,Univ Naples Federico II,Terra Quantum AG,CUNY City Coll,Leibniz Inst Solid State & Mat Sci Dresden IFW Dre"
10.1038/s41534-023-00714-8,"Fuzhou Univ,Chinese Acad Sci,CAS Ctr Excellence Topol Quantum Computat,Hangzhou Normal Univ,Shangrao Normal Univ"
10.1063/5.0217614,"CNR,Univ Roma La Sapienza,Technol Innovat Inst,Leibniz Inst Solid State & Mat Sci Dresden IFW Dre,Univ Naples Federico II,Max Planck Inst Chem Phys Solids"
10.1126/science.1226487,Karlsruhe Inst Technol
10.1016/j.rinp.2023.106414,"Imam Mohammad Ibn Saud Islamic Univ IMSIU,Taif Univ,Sohag Univ,Princess Nourah Bint Abdulrahman Univ"
10.1103/PhysRevLett.127.237702,"Indian Inst Technol,Univ Grenoble Alpes,Univ Witwatersrand"
10.1063/1.4905149,"Karlsruher Inst Technol,Russian Quantum Ctr"
10.1103/PhysRevLett.126.080501,"Zhejiang Univ,SUNY Stony Brook,China Acad Engn Phys"
10.1038/s41534-021-00375-5,"Fuzhou Univ,Chinese Acad Sci,Univ Chinese Acad Sci"
10.1103/PhysRevA.89.052308,"Univ Parma,Univ Pavia,CNR"
10.1103/PhysRevA.102.053721,Delft Univ Technol
10.1103/PhysRevLett.133.033603,"Fuzhou Univ,RIKEN Cluster Pioneering Res,RIKEN Ctr Quantum Comp,Univ Michigan"
10.1103/PRXQuantum.2.020324,"IBM Res Zurich,Tech Univ Munich,Saarland Univ,Walther Meissner Inst Tieftemp Forsch"
10.1088/1367-2630/16/4/045014,"INRIA Paris Rocquencourt,Yale Univ"
10.1103/PhysRevApplied.14.024021,"Univ Sydney,Dartmouth Coll"
10.1007/s10948-019-05419-8,"Princess Nourah bint Abdulrahman Univ,Imam Mohammad Ibn Saud Islamic Univ IMSIU,Taif Univ,Sohag Univ"
10.1103/PhysRevX.11.031045,"Univ Lyon,Univ Paris Diderot,INRIA Paris,Univ Ghent,PSL Res Univ"
10.1103/PhysRevA.103.063702,"Dongguan Univ Technol,Huazhong Univ Sci & Technol,East Carolina Univ"
10.1103/PhysRevLett.121.090502,"Google,Univ Calif Santa Barbara"
10.1364/JOSAB.29.000300,"Yanbian Univ,Chungbuk Natl Univ"
10.1038/s41567-024-02409-z,"CALTECH,Univ Chicago,Amazon Web Serv,Xi An Jiao Tong Univ"
10.1103/PRXQuantum.2.020306,MIT
10.1063/5.0065517,Rigetti Comp
10.1109/JSSC.2023.3309317,"Google Quantum AI,Univ Massachusetts Amherst"
10.1007/s10948-012-1642-x,"Univ Valle,Univ Fed ABC"
10.1007/s11128-015-1153-3,Hangzhou Normal Univ
10.1038/srep06814,"Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol"
10.1103/PhysRevA.86.062318,"Univ Georgia,Univ Melbourne"
10.1103/PhysRevLett.105.040503,"Yale Univ,Michigan State Univ,Princeton Univ"
10.1038/s42004-020-00422-w,"CSIC,Univ Zaragoza,Univ Barcelona,Fdn ARAID"
10.1103/PhysRevB.82.024511,D Wave Syst Inc
10.3390/app132112075,"Univ Calif Santa Barbara,Bikashs Quantum OPC Pvt Ltd,Hampton Univ"
10.1007/s10946-016-9565-9,"State Univ,Natl Univ Sci & Technol MISiS,Russian Acad Sci"
10.1142/S0219749910006307,"Anhui Univ,Hefei Univ"
10.1007/s11433-020-1647-8,"Fuzhou Univ,Donostia Int Phys Ctr,Univ Basque Country,Zhengzhou Univ,Tsinghua Univ,Beijing Inst Technol"
10.1103/PhysRevA.94.012340,Leibniz Univ Hannover
10.1063/1.4984299,Univ Oxford
10.1038/nature09416,"Yale Univ,Univ Waterloo"
10.1007/s11128-022-03415-x,"Univ Fed Fluminense,Inst Fed Rio de Janeiro"
10.1088/1361-6668/ac5505,"Lobachevsky State Univ Nizhny Novgorod,Lomonosov Moscow State Univ,Dukhov All Russia Res Inst Automat,Russia Natl Res Univ Higher Sch Econ,Moscow Tech Univ Commun & Informat MTUCI"
10.1103/PhysRevA.84.043827,Natl Univ Def Technol
10.1103/PRXQuantum.5.030345,"Tsinghua Univ,Frontier Sci Ctr Quantum Informat,Collaborat Innovat Ctr Quantum Matter"
10.1063/1.3638063,"Univ Calif Santa Barbara,SRON Netherlands Inst Space Res"
10.1038/ncomms1050,"Nanjing Univ,Univ Kansas"
10.1038/s41586-022-05434-1,"Google Res,Columbia Univ,Univ Massachusetts,Auburn Univ,Univ Technol Sydney,CALTECH,Univ Calif Riverside,USRA Res Inst Adv Comp Sci,NASA Ames Res Ctr,Univ Calif Santa Barbara"
10.1103/PhysRevB.84.104505,"NTT Corp,Res Org Informat & Syst"
10.1016/j.physleta.2020.126933,"Univ Fed Santa Catarina,Univ Fed Goias,Univ Basque Country"
10.1103/PhysRevLett.107.160401,"Pohang Univ Sci & Technol POSTECH,Korea Inst Adv Study"
10.1088/1751-8121/ab3f3c,Albert Ludwigs Univ Freiburg
10.1038/s41534-017-0026-2,"Tech Univ Denmark,Sun Yat Sen Univ"
10.22331/q-2020-08-03-303,"Univ Technol Sydney,Univ Queensland"
10.1088/1612-202X/ad6e6c,ITMO Univ
10.1103/PhysRevA.108.053715,Huazhong Univ Sci & Technol
10.1016/j.ijleo.2016.04.078,"Jiangxi Normal Univ,Key Lab Photoelect & Telecommun Jiangxi Prov"
10.1103/PhysRevApplied.10.054009,"Tsinghua Univ,South China Normal Univ"
10.1038/s41565-019-0500-4,HRL Labs LLC
10.1063/5.0069530,"Inst Fundamental Phys IFF CSIC,Univ Salamanca"
10.1016/j.rinp.2023.106944,"State Key Lab Math Engn & Adv Comp,Zhengzhou Univ"
10.1364/OE.25.033514,"Univ Copenhagen,Univ Elect Sci & Technol China,Ruhr Univ Bochum"
10.1103/PhysRevA.92.040303,"Yale Univ,Univ Sci & Technol China"
10.1103/PhysRevA.103.023710,"Univ Waterloo,Chalmers Univ Technol"
10.1103/PhysRevLett.114.173602,"Tech Univ Munich,Bayer Akad Wissensch,Nanosyst Initiat Munich,Heriot Watt Univ"
10.1088/1367-2630/16/11/113008,"Princeton Univ,IBM Corp,Univ Wisconsin"
10.1016/j.aop.2013.02.006,"Al Azhar Univ,Assiut Univ,Salman Bin Abdulaziz Univ"
10.1103/PhysRevB.81.174513,"SW Jiaotong Univ,Inst Phys & Chem Res RIKEN,Tsinghua Univ,Fudan Univ,Univ Michigan"
10.1103/PhysRevB.89.094522,Forschungszentrum Julich
10.1016/j.optcom.2012.02.022,Jilin Univ
10.1016/j.physleta.2020.126579,Ivan Franko Natl Univ Lviv
10.1073/pnas.2006373117,"Univ Maryland,NIST,Rice Univ,Middlebury Coll"
10.1063/5.0211159,"Univ Sci & Technol China,Origin Quantum Comp Co Ltd,Hefei Comprehens Natl Sci Ctr"
10.1103/PhysRevA.107.032614,CALTECH
10.1103/PhysRevApplied.18.064092,Univ Pittsburgh
10.1103/PhysRevA.102.033701,Univ Calgary
10.1134/S0021364023601057,South China Normal Univ
10.1117/1.AP.4.2.026004,"Hong Kong Univ Sci & Technol,Univ Guelph,Univ Waterloo,Univ Texas Dallas"
10.1080/09500340.2016.1182222,"Univ Calgary,Kazan Natl Res Tech Univ,Kazan Fed Univ"
10.1103/PhysRevB.103.094518,Leiden Univ
10.1016/j.physa.2010.08.027,"Assiut Univ,Al Azhar Univ"
10.1103/PRXQuantum.2.020309,"Princeton Univ,HRL Labs LLC,Google Inc"
10.1140/epjb/e2015-50768-3,"Univ Strasbourg,Univ Ferhat,CNRS"
10.1103/PhysRevB.88.060503,"Univ Maryland,Lab Phys Sci,Joint Quantum Inst,Ctr Nanophys & Adv Mat"
10.1103/PhysRevA.99.023854,"Univ Nacl Autonoma Mexico,Benemerita Univ Autonoma Puebla"
10.1063/1.5096610,"Natl Inst Adv Ind Sci & Technol,Nagoya Univ"
10.1103/PhysRevB.91.161405,"Naval Res Lab,Univ Maryland"
10.1142/S0217984914500821,"Univ Estadual Feira de Santana,Univ Fed Minas Gerais"
10.1103/PhysRevA.92.013826,Univ Surrey
10.1109/TMTT.2023.3345641,Tech Univ Munich
10.1103/PhysRevApplied.17.034060,"Lab Phys Sci,MIT"
10.1103/PhysRevX.10.031032,"Karlsruhe Inst Technol,Natl Univ Sci & Technol MISIS,CNRS,Univ Joseph Fourier"
10.21468/SciPostPhys.6.1.013,"Forschungszentrum Julich,Univ Grenoble Alpes,CNRS"
10.1103/PhysRevB.102.100502,"NIT Corp,Natl Inst Adv Ind Sci & Technol"
10.1103/PhysRevLett.112.210501,"Univ Calif Santa Barbara,Zhejiang Univ,Univ Calif Riverside"
10.1038/s41567-023-02107-2,"Natl Inst Stand & Technol,Univ Colorado,Univ Massachusetts,Raytheon BBN Technol"
10.1088/0953-4075/45/6/065501,"Univ Palermo,CNR"
10.1038/s41467-023-37842-w,"Univ Sci & Technol China,Inst Math Sci ICMAT CSIC UAM UC3M UCM,Univ Geneva,Constructor Univ,Lund Univ,Austrian Acad Sci"
10.1088/1361-6668/abb8eb,"Katholieke Univ Leuven,IMEC,Univ Antwerp"
10.1126/science.aaa3693,"Univ Tokyo,RIKEN"
10.1038/s41534-022-00604-5,"MIT,US Army,Univ Massachusetts,MITRE Corp,Tech Univ Denmark"
10.1103/PhysRevA.99.042336,Xi An Jiao Tong Univ
10.1088/2058-9565/ad5a37,"Univ Montpellier,Eindhoven Univ Technol,IBM TJ Watson Res Ctr"
10.1103/PhysRevApplied.18.064062,"Dept Phys,Bar Ilan Inst Nanotechnol & Adv Mat BINA,Univ Melbourne"
10.1038/s41467-024-48306-0,Stanford Univ
10.1038/s41467-020-17053-3,"Yale Univ,Argonne Natl Lab,Univ Chicago"
10.1088/0953-4075/46/23/235501,Tech Univ Darmstadt
10.1109/TMTT.2019.2893639,"IBM TJ Watson Res Ctr,Rhein Westfal TH Aachen,Peter Grunberg Inst Theoret Nanoelect"
10.1016/j.scib.2017.12.022,"Tsinghua Univ,Beijing Computat Sci Res Ctr,Univ Waterloo,Southern Univ Sci & Technol,Innovat Ctr Quantum Matter,Univ Guelph"
10.1038/s42005-024-01812-5,"Univ Basque Country,IFF CSIC,Basque Res & Technol Alliance BRTA,Basque Fdn Sci,Basque Ctr Appl Math BCAM"
10.1038/s41467-024-54541-2,"Harvard Univ,AWS Ctr Quantum Networking,DRS Daylight Solut"
10.1038/s41598-022-10203-1,"Natl Inst Informat & Commun Technol,Hamad Bin Khalifa Univ,Kyoto Univ,Japan Sci & Technol Agcy,Univ Tokyo"
10.1038/s41534-023-00708-6,"MITRE Corp,MIT,Sandia Natl Labs,Univ Arizona,Brookhaven Natl Lab"
10.1049/iet-cdt.2019.0257,Natl Inst Technol Meghalaya
10.1088/0953-4075/46/10/104002,"Univ Ulm,Delft Univ Technol,Univ Munich,Max Planck Inst Quantum Opt"
10.1103/PhysRevLett.104.163601,"Raytheon BBN Technol,Natl Inst Stand & Technol"
10.1103/PRXQuantum.2.030339,"Univ Tokyo,JST,Shanghai Jiao Tong Univ,Hiroshima Univ,Kyushu Univ,Natl Taiwan Univ,NTT Corp,RIKEN"
10.1209/0295-5075/114/50005,Univ Macau
10.1103/PhysRevA.105.042614,"Natl Inst Informat & Commun Technol NICT,Keio Univ,Univ Waterloo,Univ Tokyo"
10.1103/PhysRevLett.114.090402,"Univ Queensland,Univ Waterloo,Monash Univ,Macquarie Univ"
10.1007/s10773-020-04602-1,"Mohammed V Univ Rabat,Univ Ibn Tofail"
10.1103/PhysRevA.96.062302,"Forschungszentrum Julich,Univ Groningen,Rhein Westfal TH Aachen"
10.1088/2058-9565/ace0d5,"Shanghai Jiao Tong Univ,East China Normal Univ,Hefei Natl Lab,Shanghai Res Ctr Quantum Sci,Shanxi Univ"
10.1103/PhysRevX.13.041034,Atom Comp Inc
10.1103/PhysRevA.98.052314,"South China Normal Univ,Tsinghua Univ"
10.1103/PhysRevApplied.16.024037,"Nanjing Univ,Nanjing Univ Posts & Telecommun,Beijing Acad Quantum Informat Sci"
10.1103/PhysRevA.98.042325,CUNY
10.1103/PhysRevA.107.023725,Northwest Normal Univ
10.1007/s11664-020-08442-x,"Natl Taiwan Univ,Natl Sun Yat Sen Univ,Tsinghua Univ,Frontier Sci Ctr Quantum Informat,KYT Int Ltd,Chung Yuan Christian Univ"
10.1016/j.physleta.2018.07.042,Xi An Jiao Tong Univ
10.1109/ACCESS.2022.3169787,"Natl Phys Lab,Univ Innsbruck,Austrian Acad Sci"
10.1038/ncomms6146,"Leibniz Inst Photon Technol,Karlsruhe Inst Technol,Univ Queensland,Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1103/PhysRevB.100.140503,"Univ Wisconsin,Syracuse Univ,Sorbonne Univ,Lawrence Livermore Natl Lab"
10.1103/PhysRevA.102.052410,Southern Univ Sci & Technol
10.1142/S0217732320500467,"Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1038/s41567-018-0241-6,"Weizmann Inst Sci,Soreq NRC"
10.1088/1402-4896/ad195a,Xuchang Univ
10.1002/qute.202200049,"Tech Univ Munich,Technion Israel Inst Technol,Univ Grenoble Alpes,Ruhr Univ Bochum,Tech Univ Berlin,Univ Paderborn"
10.1103/PhysRevA.110.012459,Zhejiang Univ
10.1103/PhysRevB.81.132502,"RIKEN,NEC Nano Elect Res Labs"
10.1007/s11128-019-2570-5,RAS
10.1038/s41586-018-0195-y,"ETH,Univ Sherbrooke,Canadian Inst Adv Res"
10.1103/PhysRevLett.123.210501,"Google,Univ Calif Santa Barbara"
10.1364/OPTICA.4.000008,Oak Ridge Natl Lab
10.1088/2058-9565/acfc62,"Cornell Univ,Purdue Univ,Princeton Univ"
10.1103/PhysRevA.81.052106,"Univ Calgary,Ecole Polytech Montreal"
10.1103/PhysRevLett.123.030501,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1140/epjd/s10053-022-00419-1,"Tokyo Inst Technol,Loughborough Univ,Univ Vienna,Sapienza Univ Roma,NTT Corp,Natl Inst Informat,Univ Roma Tre"
10.1007/s10773-012-1159-x,"Jiangxi Normal Univ,Key Lab Optoelect & Telecommun Jiangxi,Wuhan Univ,Chinese Acad Sci,Natl Univ Singapore,Inst High Performance Comp"
10.1103/PhysRevMaterials.6.064402,"Northwestern Univ,NIST,Univ Colorado"
10.1038/s41467-017-01156-5,"Zhejiang Univ,Fuzhou Univ,Chinese Acad Sci,Univ Sci & Technol China,Univ Chinese Acad Sci"
10.1103/PhysRevA.85.052320,"Univ Zaragoza,Univ Augsburg,Fdn ARAID"
10.1103/PhysRevA.110.062610,"Univ Strasbourg,CNRS,ISIS,Macquarie Univ"
